full_text,tokenized_and_stemmed,tweet_english
pas gue tanya alas gamau milih 3 partai kalo abah malah cuma gara2 takut ikn dilanjutin yaelah,pas gue tanya alas gamau milih 3 partai kalo abah malah cuma gara2 takut ikn dilanjutin yaelah,"When I asked why you didn't want to vote for 3 parties, if you did, it was just because you were afraid it would continue, okay?"
sayembara masterplan ikn dulu dah potensi baik menang negara rimba nusa kenapa makin kesini makin kesana kemana2,sayembara masterplan ikn dulu dah potensi baik menang negara rimba nusa kenapa makin kesini makin kesana kemana2,"IKN's master plan competition used to have good potential to win in the jungle country of Nusa, why are you coming here and going everywhere?"
akan ikn jadi another dubai architecture theme park akrobat2 bentuk lebih arsitek yang ok2 dan nikmat ada yang waduh apa2an nih ,akan ikn jadi another dubai architecture theme park akrobat2 bentuk lebih arsitek yang ok2 dan nikmat ada yang waduh apa2an nih,"it will be another dubai architecture theme park, acrobatics, more architectural forms that are ok and delicious, there are those who wow what the heck?"
sdh jadi usaha kaya gk perlu jadi menteri bakal jadi kuasa ikn,sdh jadi usaha kaya gk perlu jadi menteri bakal jadi kuasa ikn,"If you have become a rich business, you don't need to be a minister to become a fish power"
aneh hoby-nya buang duit proyek jelas tidak sentuh butuh dasar masyarakat ikn food estate kereta cepat begitu selesai mau subsidi naik pajak motor sekarang cuma tembok raksasa  mo bikin kubang ,aneh hoby-nya buang duit proyek jelas tidak sentuh butuh dasar masyarakat ikn food estate kereta cepat begitu selesai mau subsidi naik pajak motor sekarang cuma tembok raksasa mo bikin kubang,"It's strange, his hobby is wasting money, obviously the project doesn't touch the basic needs of the community, IKN, food estate, fast train once it's finished, I want to subsidize the motorbike tax increase, now it's just a giant wall, you're going to make a hole in it"
atrbpn menteri agraria tata ruang kepala badan tanah nasional atr bpn had tjahjanto damping presiden ri joko widodo rangkai leta batu pertama groundbreaking tinjau bangun ibu kota nusantara ikn,atrbpn menteri agraria tata ruang kepala badan tanah nasional atr bpn had tjahjanto damping presiden ri joko widodo rangkai leta batu pertama groundbreaking tinjau bangun ibu kota nusantara ikn,ATRBPN Minister of Agrarian Spatial Planning Head of National Land Agency ATR BPN Had Tjahjanto Accompanying President of the Republic of Indonesia Joko Widodo Sangkai Leta First Stone Groundbreaking Review Building Archipelago Capital IKN
bener mending golput gua suka proyek ikn siganjar bilang msh mau ngelanjutin ikn,bener mending golput gua suka proyek ikn siganjar bilang msh mau ngelanjutin ikn,"It's true that it's better to abstain, I like the IKN project. Siganjar said he still wants to continue IKN"
pt lajuland bangun destinasi wisata lakeview ikn ubah lahan bekas tambang batu bara jadi spot milenial tarik rainbow slide hingga skywalk siap manja unjung,pt lajuland bangun destinasi wisata lakeview ikn ubah lahan bekas tambang batu bara jadi spot milenial tarik rainbow slide hingga skywalk siap manja unjung,"PT Laluland builds Lakeview IKN tourist destination, converts ex-coal mining land into millennial spot, attracts rainbow slides and skywalks, ready to pamper visitors"
ikn unfaeda dapat faedah prabowo sama hasyim punya proyek besar ikn,ikn unfaeda dapat faedah prabowo sama hasyim punya proyek besar ikn,IKN Unfaeda can benefit from Prabowo and Hasyim having a big IKN project
tanda2 kiamat,tanda2 kiamat,signs of the end
lebih masuk akal anggar 450 triliun tahun makan siang gratis rawan korupsi anggar besar nilai hampir tara biaya total bangun ikn uang darimana,lebih masuk akal anggar 450 triliun tahun makan siang gratis rawan korupsi anggar besar nilai hampir tara biaya total bangun ikn uang darimana,more reasonable budget 450 trillion a year free lunch prone to corruption large budget almost equal total cost of building where does the money come from
dapet proyek ikn bilang hikmat tuhan perkara duniawi tuhan slalu bawa,dapet proyek ikn bilang hikmat tuhan perkara duniawi tuhan slalu bawa,"got the project, said God's wisdom in worldly matters, God always brings it"
kata lanjut ikn sekarang butuh pangan urus makan cucu gratis gimana  lieur,kata lanjut ikn sekarang butuh pangan urus makan cucu gratis gimana lieur,"I continue to say that now I need food to take care of my grandchildren's meals for free, how can I lieur"
mau 02 ibarat dosa kaya bayi baru lahir nyapres gagas sekarang tetap bakal gua pilih gagas terlalu kosong superfisial banding masalah ada makan siang gratis ikn impor sapi pajak umkm nyari ketua ormawa yang gagas bagus,mau 02 ibarat dosa kaya bayi baru lahir nyapres gagas sekarang tetap bakal gua pilih gagas terlalu kosong superfisial banding masalah ada makan siang gratis ikn impor sapi pajak umkm nyari ketua ormawa yang gagas bagus,Wanting 02 is like a sin like a new born baby running for President Gagas now I will still choose Gagas too empty superficial appeal problem there is a free lunch IKN cattle import tax UMKM looking for a head of ormawa who has good ideas
masa temenku bilang pilih karena kasi udah tua terus biar ikn jalan soal banyak pegang saham udah ikut bangun ikn kalau pilih 1 ikn galanjut kek be like fak kata tehh yang perlu kasihan skrg rakyat kalau yang jadi,masa temenku bilang pilih karena kasi udah tua terus biar ikn jalan soal banyak pegang saham udah ikut bangun ikn kalau pilih 1 ikn galanjut kek be like fak kata tehh yang perlu kasihan skrg rakyat kalau yang jadi,when my friend said to choose because kasi is already old then let ikn go on about holding a lot of shares and already getting up ikn if you choose 1 ikn go ahead kek be like fak said tehh who needs to feel sorry for the people now if that is the case
jadi mau pindah ke ikn kalo dapet rezeki masa depan anak cucu mudah2an jadi lebih baik jakarta-bandung kabar gabung makin tambah sumpek pulau jawa kita lihat kembang ikn semangat lanjut bangun pak terimakasih pak,jadi mau pindah ke ikn kalo dapet rezeki masa depan anak cucu mudah2an jadi lebih baik jakarta-bandung kabar gabung makin tambah sumpek pulau jawa kita lihat kembang ikn semangat lanjut bangun pak terimakasih pak,"So I want to move to IKN if I can get sustenance for the future of my children and grandchildren, hopefully Jakarta-Bandung will be better. The news of joining is getting increasingly crowded, the island of Java, let's see the flowering of IKN. Keep up your spirits, sir. Thank you, sir."
pak ganjar tetap lanjut ikn bansos jadi bukan ubah,pak ganjar tetap lanjut ikn bansos jadi bukan ubah,"Mr Ganjar is still continuing with social assistance, so that's not a change"
ketua doank dukung ikn lain mana,ketua doank dukung ikn lain mana,"Chairman, do you support other fish?"
lah ubah gimana kan pak ganjar masih komitmen terus ikn lanjut bansos jg,lah ubah gimana kan pak ganjar masih komitmen terus ikn lanjut bansos jg,"So how do you change it, Mr Gangar is still committed to continuing social assistance too"
proyek bangun ikn nusantara serap banyak tenaga kerja,proyek bangun ikn nusantara serap banyak tenaga kerja,The archipelago fish building project absorbs a lot of workers
menteri esdm target sedia plts tenaga 50 mau sokong ikn,menteri esdm target sedia plts tenaga 50 mau sokong ikn,Minister of Energy and Mineral Resources targets to have 50 PLTs ready to support IKN
sama ganjar mahfud,sama ganjar mahfud,Same as Mahfud's reward
saat sri out tinggal alas simpel semua utang negara kait rencana visi misi mau bijak amp ulah jokowi banyak yang sinkron kait lapor uang negara jkw sendiri sbg citra media banget ikn cenderung hoax,saat sri out tinggal alas simpel semua utang negara kait rencana visi misi mau bijak amp ulah jokowi banyak yang sinkron kait lapor uang negara jkw sendiri sbg citra media banget ikn cenderung hoax,"when sri out just a simple basis all the state debt is related to the plan, vision and mission, want to be wise and many of Jokowi's actions are in sync with regards to reporting on state funds, JKW itself as a media image really tends to be a hoax"
faedah lama libur semester sering bantu ibu buat masak bismillah 2024 punya warung sunda ikn,faedah lama libur semester sering bantu ibu buat masak bismillah 2024 punya warung sunda ikn,long term benefits of semester break often help mother to cook bismillah 2024 owning a Sundanese fish stall
produk gagal mau pimpin nagara bikin malu 270 juta rakyat,produk gagal mau pimpin nagara bikin malu 270 juta rakyat,The failed product of wanting to lead the country embarrassed 270 million people
wah mending lahan 230 ribu ha banding makan siang lahan gratis gegara kini kertas beli pabrik kertas tanah negara sebahagian kordinat masuk ikn hasyim punya otak maling,wah mending lahan 230 ribu ha banding makan siang lahan gratis gegara kini kertas beli pabrik kertas tanah negara sebahagian kordinat masuk ikn hasyim punya otak maling,"Wow, it's better if 230 thousand hectares of land compares to free land lunch because now paper is buying paper mills, state land, some of the coordinates for entering IKN Hasyim has the brains of a thief"
bangun dinasti sekali istana ikn keluarga apa laku keji cundang rampok perkosa demokrasi,bangun dinasti sekali istana ikn keluarga apa laku keji cundang rampok perkosa demokrasi,"build a dynasty once a palace and a family, what abominable behavior, cheating, robbing, raping democracy"
hahaha jadi ikn tempat buang  lah ibukota bukan orang pilih malah orang buang,hahaha jadi ikn tempat buang lah ibukota bukan orang pilih malah orang buang,"hahaha so it's a place to throw away the capital, people don't choose it, people just throw it away"
apa orang kamu dukung semua gagal,apa orang kamu dukung semua gagal,the people you support all fail
9 th gembar gembor bangun infrastruktur untuk buah jembatan desa sj tak mampu bangun tak guna kereta api cepat ikn food estate tel ratus triliun fasilitas dasar infrastruktur desa sj tak bangun rakyat desa buka mata jgn mau bodoh,9 th gembar gembor bangun infrastruktur untuk buah jembatan desa sj tak mampu bangun tak guna kereta api cepat ikn food estate tel ratus triliun fasilitas dasar infrastruktur desa sj tak bangun rakyat desa buka mata jgn mau bodoh,9 years fanfare building infrastructure for fruit SJ village bridge can't afford to build it doesn't use fast train IKN Food Estate Tel Hundred Trillion basic facilities SJ village infrastructure can't be built village people open their eyes don't want to be stupid
program 02 makan siang gratis susu gratis sama ikn apa lagi,program 02 makan siang gratis susu gratis sama ikn apa lagi,program 02 free lunch free milk and what else
anjay langsung hukum orang kalimantan abis ngusik ikn ,anjay langsung hukum orang kalimantan abis ngusik ikn,Anjay immediately punished the Kalimantan people after disturbing the fish
yg dukung dukung sama2 bodoh,yg dukung dukung sama2 bodoh,Those who support it are both stupid
someone said kaya kubah masjid ikn im screaming,someone said kaya kubah masjid ikn im screaming,someone said rich mosque dome im screaming
ikn ibu kota nippon,ikn ibu kota nippon,the capital of Nippon
0 bro,0 bro,0 bro
semua makan buai kata2 anies mau kasih waktu 2 periode 1 40 kota dia janji tak jadi nyata hny kelabu spy lihat lebih hebat 1 ikn lihat rekam jejak dki anies tetap anies jago omon-omon 03 lebih,semua makan buai kata2 anies mau kasih waktu 2 periode 1 40 kota dia janji tak jadi nyata hny kelabu spy lihat lebih hebat 1 ikn lihat rekam jejak dki anies tetap anies jago omon-omon 03 lebih,all the words of Anies want to give him 2 periods 1 40 cities he promised didn't come true just gray spy see more great 1 ikn see dki track record anies still anies is good at talking 03 more
0 bro,0 bro,0 bro
biar sepi ikn,biar sepi ikn,so it's quiet
pak ganjar terus komitmen tetap jalan ikn ubah apa,pak ganjar terus komitmen tetap jalan ikn ubah apa,"Mr Ganjar, keep your commitment and keep going, what will you change?"
cari ikn bang wkwk,cari ikn bang wkwk,look for fish bro hahaha
kcic ikn pajak motor bensin pajak bumi bangun naik ,kcic ikn pajak motor bensin pajak bumi bangun naik,kcic ikn motorbike petrol tax land and property tax increases
yang bahas sih soal akan hilang paru dunia ikn rampung bangun ngeri sudah lanjur,yang bahas sih soal akan hilang paru dunia ikn rampung bangun ngeri sudah lanjur,The discussion about the world's lungs will disappear and the horror is over
pak sibuk bangun ikn pada bangun provinsi2 tinggal heran masih banyak buta mata hati,pak sibuk bangun ikn pada bangun provinsi2 tinggal heran masih banyak buta mata hati,"Sir, you are busy building fish and building the provinces. It's just surprising that there are still so many people who are blind and heartless"
jujur kalau terlalu banyak kelompok masy libat mungkin ikn mulai bangun hari,jujur kalau terlalu banyak kelompok masy libat mungkin ikn mulai bangun hari,"Honestly, if too many community groups are involved, it might start to wake up"
culik ikn aja,culik ikn aja,Just kidnap the fish
gue beneran mo daftar ikn karena jiwa bebas sy ronta,gue beneran mo daftar ikn karena jiwa bebas sy ronta,I really want to register for IKN because my free spirit is struggling
pasu merah dayak kalimantan sama prabowo-gibran sinergi mantan panglima kostrad dg panglima pasu merah prabowo-gibran antar pasu merah tuju istana keprisidenan ikn waktu panglima jaga indonesia jaga daulat nkri,pasu merah dayak kalimantan sama prabowo-gibran sinergi mantan panglima kostrad dg panglima pasu merah prabowo-gibran antar pasu merah tuju istana keprisidenan ikn waktu panglima jaga indonesia jaga daulat nkri,Pasu Merah Dayak Kalimantan with Prabowo-Gibran synergy between former Kostrad Commander and Pasu Merah Commander Prabowo-Gibran between Pasu Merah heading to the Presidential Palace at the time of the Commander in Chief of Indonesia to guard the sovereignty of the Republic of Indonesia
takdir kak temenku sadar kalo anies lebih baik masih kekeh prabowo trus takdir kata akan angkat pppk ketika mau milih prabowo nggak mau pindah ikn,takdir kak temenku sadar kalo anies lebih baik masih kekeh prabowo trus takdir kata akan angkat pppk ketika mau milih prabowo nggak mau pindah ikn,"It's fate, my friend realized that Anies was better off still laughing at Prabowo, then fate said he would lift PPPK when he wanted to vote, Prabowo didn't want to move."
kata tunda sih lebih skala prioritas dlm arti bangun hanya fokus ikn but wallahualam,kata tunda sih lebih skala prioritas dlm arti bangun hanya fokus ikn but wallahualam,"The word postpone is more of a priority scale in the sense of getting up and just focusing on fish, but wallahualam"
ikn nusantara tingkat ekonomi wilayah,ikn nusantara tingkat ekonomi wilayah,Indonesian archipelago regional economic level
bangun infrastruktur ikn makin kebut,bangun infrastruktur ikn makin kebut,building fish infrastructure is getting faster and faster
dukung perintah bangun infrastruktur ikn,dukung perintah bangun infrastruktur ikn,support orders to build IKN infrastructure
gibran sandera ikn lahan prabowo food estate politis demokrat justru serang balik,gibran sandera ikn lahan prabowo food estate politis demokrat justru serang balik,Gibran hostage IKN Tanah Prabowo Food Estate Democratic politics actually attacked back
benar tani di proyek food estate ikn ya emang ada halusinasi bikin radang otak hati halal segala cara kuasa sori yee sori yee ,benar tani di proyek food estate ikn ya emang ada halusinasi bikin radang otak hati halal segala cara kuasa sori yee sori yee,"it's true that farmers in the food estate project, yes, there are indeed hallucinations that cause inflammation of the brain, heart, halal, all the power of power, sorry yee, sorry yee"
ikn ambon,ikn ambon,Ambon fish
lebih cuan ikn eh,lebih cuan ikn eh,more money eh
cuit tidak milik relevansi bangun ikn,cuit tidak milik relevansi bangun ikn,The tweet does not belong to IKN's wake relevance
nah makin tolol kan nihh utang indo per hari saja dah berapa t mau tambah buat makan siang gratis 470t kemudiaan susu gratis dri 1 5jt sapi lalu ken lanjut ikn butuh berapa ribu t lgi buat program pentinrg,nah makin tolol kan nihh utang indo per hari saja dah berapa t mau tambah buat makan siang gratis 470t kemudiaan susu gratis dri 1 5jt sapi lalu ken lanjut ikn butuh berapa ribu t lgi buat program pentinrg,"Well, it's getting more and more stupid, isn't the Indonesian debt per day just how much do you want to add to the free lunch, 470 thousand, then free milk from 1,5 million cows, then let's continue, how many thousands do you need, more for an important program?"
someone said pentil kubah ikn,someone said pentil kubah ikn,someone said IKN dome valve
heheh bukan fitnah tpi fakta jkw langgeng anak jadi cawapres saat masih jabat jkw buru buru bangun ikn pdhal investor tidak masuk2 jkw sepele hutang bunga besar china jadi buat negara bangkrut,heheh bukan fitnah tpi fakta jkw langgeng anak jadi cawapres saat masih jabat jkw buru buru bangun ikn pdhal investor tidak masuk2 jkw sepele hutang bunga besar china jadi buat negara bangkrut,"heheh, it's not slander, but it's a fact that JKW's son became vice presidential candidate while he was still in office. JKW was in a hurry to build a fish even though investors weren't coming in. JKW is trivial, China's huge interest debt is causing the country to go bankrupt"
biar yang nemenin kalo kamu jadi pindah ikn,biar yang nemenin kalo kamu jadi pindah ikn,Let me accompany you if you move
ke-kenapa ikn,ke-kenapa ikn,Wh-why ikn
semua karna bangun ikn butuh duit besar kalo bukan pajak yah solusi,semua karna bangun ikn butuh duit besar kalo bukan pajak yah solusi,"all because building a fish requires a lot of money, if not taxes, that's the solution"
kayak asn k l pusat udah pindah ikn nih kominfo,kayak asn k l pusat udah pindah ikn nih kominfo,"It's like the ASN has moved the center, right? Kominfo"
bismillah half blood bandung jawa thn 00 mungkin pindah ikn haha,bismillah half blood bandung jawa thn 00 mungkin pindah ikn haha,bismillah half blood bandung java in 00 maybe moving to fish haha
basuki jalan tol ikn tahap 1 selesai juli 2024,basuki jalan tol ikn tahap 1 selesai juli 2024,Basuki IKN toll road phase 1 will be completed in July 2024
mulai dengan food estate ikn kendeng pakel tumpang pitu papua geotherman dieng rob semarang asap jakarta wadas tamansari dago elos rempang urutsewu tambang emas trenggalek nyia pltu batang pltu cirebon kurang kita tambahin bawah,mulai dengan food estate ikn kendeng pakel tumpang pitu papua geotherman dieng rob semarang asap jakarta wadas tamansari dago elos rempang urutsewu tambang emas trenggalek nyia pltu batang pltu cirebon kurang kita tambahin bawah,starting with food estate IKN Kendeng Pakel Tumpang Pitu Papua Geotherman Dieng Rob Semarang Smoke Jakarta Wadas Tamansari Dago Elos Rempang Urutsewu Trenggalek Gold Mine Nyia Batang Power Plant Cirebon Less We Add Below
ikea ikn,ikea ikn,Ikea IKN
makan tugas orang tua anggar 450t tahun buat makan gratis tara bangun ikn investor ,makan tugas orang tua anggar 450t tahun buat makan gratis tara bangun ikn investor,Eating parents' duties budgets 450t a year for free food Tara wakes up IKN investor
memang mau ditaroh mana sapi 2 juta ekor apa mau ditaroh bekas pudestet curiga pull korupsi siapa akan miara berapa banyak ahli ternak semua tenaga kerja berapa biaya miaranya woi duit mana itu ikn bikin proyek maling,memang mau ditaroh mana sapi 2 juta ekor apa mau ditaroh bekas pudestet curiga pull korupsi siapa akan miara berapa banyak ahli ternak semua tenaga kerja berapa biaya miaranya woi duit mana itu ikn bikin proyek maling,"where do you want to put the 2 million head of cattle, what do you want to put, the ex-pudestet is suspicious of corruption, who will do it, how many livestock experts, all the labor, how much will the miara cost, wow, where's the money, I'm making a thief's project?"
kan tanah buat adik kerjasama sama israel makanya ngebet jadi presiden biar tanah ikn asai israel,kan tanah buat adik kerjasama sama israel makanya ngebet jadi presiden biar tanah ikn asai israel,"That's why the land is for my brother to collaborate with Israel, that's why I'm desperate to become president so that Ikn Asai land is Israel."
i can t believe he has the audacity to say ikn kan bangun perata ,i can t believe he has the audacity to say ikn kan bangun perata,i can't believe he has the audacity to say it's a build leveler
ikn kayakny bagus loh,ikn kayakny bagus loh,"The fish seems good, you know"
pak ganjar komitmen terus ikn lanjut bansos nusron bilang realokasi dana bansos buat makan gratis,pak ganjar komitmen terus ikn lanjut bansos nusron bilang realokasi dana bansos buat makan gratis,Sir Rewards Commitment to Continuing to Continue Social Assistance Nusron said to reallocate social assistance funds for free meals
pohon di tebang buat ikn mana yaa,pohon di tebang buat ikn mana yaa,Trees are cut down for fish
bukan jadi awas benar jadi jubir metland milik lahan videotron fakta milik metland adl dukung ikn metland jadi tempat rawan paktua-bayi nepotisme ada giat ujung rejim,bukan jadi awas benar jadi jubir metland milik lahan videotron fakta milik metland adl dukung ikn metland jadi tempat rawan paktua-bayi nepotisme ada giat ujung rejim,"not so be careful, be a spokesperson for Metland, which is owned by Videotron land, the fact is that Metland's property is supporting IKN, Metland is a place prone to nepotism, which is active at the end of the regime"
yahh enggak tidak sempat buat ngumpet ikn di daerah mah nonton aja,yahh enggak tidak sempat buat ngumpet ikn di daerah mah nonton aja,"Well, I don't have time to catch fish in the area, I just watch it"
satu satu gue kurang tuju tolak 01 ikn,satu satu gue kurang tuju tolak 01 ikn,"One by one, I'm not aiming enough to reject 01 IKN"
 gk semua masyarakat bodoh mau gabung krna barter 1 dapat proyek food easte lahan beliau kuasa 2 dapat proyek ikn 3 dukung pilpres 2024 beliau sendiri kata bisnis macet gk kuasa,gk semua masyarakat bodoh mau gabung krna barter 1 dapat proyek food easte lahan beliau kuasa 2 dapat proyek ikn 3 dukung pilpres 2024 beliau sendiri kata bisnis macet gk kuasa,"Not all stupid people want to join because of bartering. 1. Get the Food Easte project, the land he controls. 2. Get the fish project. 3. Support the 2024 presidential election. He himself said that business is stalled. No power."
ganjar kamu komitmen bangun ikn,ganjar kamu komitmen bangun ikn,Reward your commitment to building IKN
nyari ikn gan,nyari ikn gan,"look for fish, bro"
didik lah rumah gusur jadi ikn,didik lah rumah gusur jadi ikn,Educate demolished houses to become fish
jelas runtut bagaimana cara ikn wujud perata bagaimana cara ikn tingkat ekonomi papua aceh malu lain,jelas runtut bagaimana cara ikn wujud perata bagaimana cara ikn tingkat ekonomi papua aceh malu lain,"clearly coherent, how to level the form of leveling, how to increase the economic level of Papua, Aceh, another shame"
pak ganjar masih komitmen terus ikn pak ganjar-mahfud lanjut bansos menggurang justru tambah cakup,pak ganjar masih komitmen terus ikn pak ganjar-mahfud lanjut bansos menggurang justru tambah cakup,"Mr Gangar is still committed to continuing, Mr Gangar-Mahfud continues to reduce social assistance and actually increase coverage."
iy maafya sibuk benerin ikn ikat kepompong nasional,iy maafya sibuk benerin ikn ikat kepompong nasional,"Yes, sorry, I'm busy fixing the national cocoon"
hemat anggar pilih gubernur tapi ikn jalan presiden siapa,hemat anggar pilih gubernur tapi ikn jalan presiden siapa,"Save money when choosing a governor, but whose way is the president?"
pak ganjar masih komitmen terus ikn,pak ganjar masih komitmen terus ikn,Mr Gangar is still committed to continuing
mana neh bajer gedibal babi ikn,mana neh bajer gedibal babi ikn,where's the bajer gedibal pork fish?
apa kabar ikn,apa kabar ikn,how are you ikn
kalo ganjar sama kan bakal nerusin ikn,kalo ganjar sama kan bakal nerusin ikn,"If you get the same reward, you'll continue to fish"
bener bnget arah politik ganjar agak kurang jelas mau oposisi lanjut nggak jelas kalau aku jadi ganjar mending langsung oposisi cara beda dengan aniess lebih sehat sok an oposisi ada jilat nya rezim cnth ikn,bener bnget arah politik ganjar agak kurang jelas mau oposisi lanjut nggak jelas kalau aku jadi ganjar mending langsung oposisi cara beda dengan aniess lebih sehat sok an oposisi ada jilat nya rezim cnth ikn,"It's true that the political direction of reward is a bit unclear, whether the opposition will continue, it's not clear that if I become a reward, it's better to go directly to the opposition. The different method with Aniess is healthier, so the opposition has a lick of the regime, for example, iKn"
baru mau tawar diri trus baca mau tinggal ikn  are you serious,baru mau tawar diri trus baca mau tinggal ikn are you serious,I was just about to offer myself up then just read and say are you serious
dana stungitng puskesmas aj korupsi abiss abisaan cuma apaa lgian bicara dana dana makan siang tuh lebih gede dri bangun ikn dri mana duit,dana stungitng puskesmas aj korupsi abiss abisaan cuma apaa lgian bicara dana dana makan siang tuh lebih gede dri bangun ikn dri mana duit,"funding for the maintenance of the community health center, corruption can't be helped, what else are you talking about, lunch funds are bigger than building, where does the money come from?"
gw bukan buzzer yak cek twit gue beberapa x buka chance pindah paslon tapi soal ikn sll wanti wanti sjak awal ikn tetep jalan siapa pilih bila bkn 02 akan pakai alsan krna sdah lanjur ttd bla bla g pernah ajar kasus reklamasi ,gw bukan buzzer yak cek twit gue beberapa x buka chance pindah paslon tapi soal ikn sll wanti wanti sjak awal ikn tetep jalan siapa pilih bila bkn 02 akan pakai alsan krna sdah lanjur ttd bla bla g pernah ajar kasus reklamasi,"I'm not a buzzer, check my tweets a few times, open a chance to move candidate pairs, but the question of IKN has been a matter of warning since the beginning, IKN is still going, who chooses, if not 02, I'll use the excuse because it's already been signed, blah blah, never taught reclamation cases"
akhirnyaaaa yang bahassss alhamdulilah puji tuhan haleluya so adalah alas knp 2030 butuh militer kuat alas knp ikn bukan masalah sepele biasa yang sepele akan bikin 10 negara was was,akhirnyaaaa yang bahassss alhamdulilah puji tuhan haleluya so adalah alas knp 2030 butuh militer kuat alas knp ikn bukan masalah sepele biasa yang sepele akan bikin 10 negara was was,"finally what was discussed, thank God, thank God, hallelujah, so that's the reason why 2030 needs a strong military, the reason why IKN is not an ordinary trivial problem that will make 10 countries anxious"
nyata lemhanas udah bikin kaji buat tahan ikn,nyata lemhanas udah bikin kaji buat tahan ikn,"In fact, Lemhanas has already carried out a study on fish resistance"
berak kebon  kalau dukung konservasi lahan 500 hektar kagak diserahin dijadiin proyek ikn,berak kebon kalau dukung konservasi lahan 500 hektar kagak diserahin dijadiin proyek ikn,"if it supports the conservation of 500 hectares of land, it cannot be turned over to become a fishery project"
bilang ikn lebih penting otak gimana,bilang ikn lebih penting otak gimana,I say the brain is more important
kalau uu soal calon wakil presiden bisa revisi tutup mungkin uu ikn sebenernya perlu hindar hanya optimal satu titik baru nol lupa titik lain sudah olah ngutamain anak bungsu kakak dilupain,kalau uu soal calon wakil presiden bisa revisi tutup mungkin uu ikn sebenernya perlu hindar hanya optimal satu titik baru nol lupa titik lain sudah olah ngutamain anak bungsu kakak dilupain,"if the law is about the vice presidential candidate, you can revise it, maybe you actually need to avoid it, only optimally one point, then zero, forget the other point, you have already prioritized the youngest child, brother, forget it"
wah abot ki sama sulung mbak jawa iman umur bapak-ibuk prefer mantu asn ibuk-bapak mau anak kerja tinggal ikn good luck bang moga segera dapet,wah abot ki sama sulung mbak jawa iman umur bapak-ibuk prefer mantu asn ibuk-bapak mau anak kerja tinggal ikn good luck bang moga segera dapet,"Wow, abot ki and eldest Miss Java, Iman's age, ladies and gentlemen, prefer in-laws, civil servants, ladies, if you want your child to work, just have a good luck, bro, I hope you get it soon"
panglima jilah tuju alam sudah rusak kalimantan tanam beton2 ikn kata biar guna sia2 kan logika nya alam rusak baik bukan malah di ancurin,panglima jilah tuju alam sudah rusak kalimantan tanam beton2 ikn kata biar guna sia2 kan logika nya alam rusak baik bukan malah di ancurin,"Panglima Jilah Tui nature has been damaged in Kalimantan, plant concrete, words to make them useful, right? The logic is that nature is damaged, not destroyed."
pas bahas ikn arti desak anies kalimantan cmiiw soal lupa,pas bahas ikn arti desak anies kalimantan cmiiw soal lupa,right when discussing the meaning of Anies' insistence in Kalimantan CMIIW about forgetting
proyek bangun ikn nusantara serap 9 976 tenaga kerja 30 antara kerja lokal,proyek bangun ikn nusantara serap 9 976 tenaga kerja 30 antara kerja lokal,"the archipelago fish development project absorbs 9,976 workers, 30 of which are local workers"
ikn nusantara tingkat ekonomi wilayah,ikn nusantara tingkat ekonomi wilayah,Indonesian archipelago regional economic level
ubah mata pak ganjar komitmen terus ikn lanjut bansos,ubah mata pak ganjar komitmen terus ikn lanjut bansos,"Change your eyes, sir, reward commitment and continue social assistance"
ikn kasus jadi mirip reklamasi pantura jakarta banten,ikn kasus jadi mirip reklamasi pantura jakarta banten,This case is similar to the reclamation of the Jakarta Banten coast
bangun memorial park ikn resmi anggar capai 361 miliar rupiah,bangun memorial park ikn resmi anggar capai 361 miliar rupiah,building the official IKN memorial park costs 361 billion rupiah
hah sumpah kak jauh banget malah kalimantan apa ikn,hah sumpah kak jauh banget malah kalimantan apa ikn,"Hah, I swear, it's really far away, even Kalimantan or something"
anak muda sekarang pas makan sama teman di bahas politic nyata soal ikn lah milih calon presiden nya si a b c lah kagum nih gue dengernya aware soal politik nyata,anak muda sekarang pas makan sama teman di bahas politic nyata soal ikn lah milih calon presiden nya si a b c lah kagum nih gue dengernya aware soal politik nyata,"Young people nowadays, when they eat with friends, discuss real politics about fish, choose their presidential candidate, A B C, I'm amazed to hear that they are aware of real politics."
melayu duduk asli singapur tinggal pinggir jadi tonton ikn siapa bila bangun serah oligarki asing apa maksud hgu ikn 190 tahun wna hilir siap bila sda asai oligarki asing,melayu duduk asli singapur tinggal pinggir jadi tonton ikn siapa bila bangun serah oligarki asing apa maksud hgu ikn 190 tahun wna hilir siap bila sda asai oligarki asing,"Malays, native to Singapore, live on the sidelines, so watch IKN, who when you wake up, surrender to foreign oligarchs, what does HGU IKN mean, 190 years, WNA Downstream, ready when SDA Asai foreign oligarchs"
jangan bawa2 nama tuhan fakta bang ara masuk tim konsorsium ikn lho kan kasihan tuhan jadi kambing hitam,jangan bawa2 nama tuhan fakta bang ara masuk tim konsorsium ikn lho kan kasihan tuhan jadi kambing hitam,"Don't bring up God's name, the fact that Bang Ara entered the IKN consortium team, you know, it's a shame for God to be a scapegoat"
amat prediksi wadas ikn bakal bahas debat empat capres-cawapres,amat prediksi wadas ikn bakal bahas debat empat capres-cawapres,Wadas IKN really predicts that it will discuss the debate between the four presidential and vice presidential candidates
